onset	duration	trial_type	relevant_rank	irrelevant_rank	A
16.8700204	2	F2	4.0	4.0	0.321750554396642
34.9883678	2	F2	3.0	2.0	-2.35619449019235
51.2376314	2	F2	1.0	1.0	-2.81984209919315
66.820201	2	F2	2.0	4.0	0.785398163397448
87.0078551	2	F2	1.0	1.0	-2.67794504458899
103.9619138	2	F2	2.0	4.0	0.321750554396642
124.4440525	2	F2	2.0	1.0	-2.35619449019235
140.1099839	2	F2	2.0	3.0	-2.35619449019235
158.4444796	2	F2	1.0	2.0	-1.89254688119154
178.5402408	2	F2	2.0	1.0	-2.67794504458899
199.4891089	2	F2	4.0	4.0	0.785398163397448
215.7381204	2	F2	3.0	1.0	-2.35619449019235
230.687005	2	F2	4.0	4.0	1.10714871779409
246.4655216	2	F2	3.0	4.0	1.10714871779409
261.9518523	2	F2	2.0	2.0	0.785398163397448
276.9342326	2	F2	4.0	4.0	0.785398163397448
291.6438609	2	F2	2.0	2.0	-2.03444393579570
314.7334786	2	F2	1.0	1.0	-2.15879893034246
331.9508099	2	F2	1.0	1.0	-2.35619449019235
347.3326197	2	F2	4.0	4.0	0.785398163397448
