onset	duration	trial_type	relevant_rank	irrelevant_rank	A
16.8700204	2	F2	4.0	4.0	251.5651
34.9883678	2	F2	3.0	2.0	45
51.2376314	2	F2	1.0	1.0	71.5651
66.820201	2	F2	2.0	4.0	225
87.0078551	2	F2	1.0	1.0	63.4349
103.9619138	2	F2	2.0	4.0	251.5651
124.4440525	2	F2	2.0	1.0	45
140.1099839	2	F2	2.0	3.0	45
158.4444796	2	F2	1.0	2.0	18.4349
178.5402408	2	F2	2.0	1.0	63.4349
199.4891089	2	F2	4.0	4.0	225
215.7381204	2	F2	3.0	1.0	45
230.687005	2	F2	4.0	4.0	206.5651
246.4655216	2	F2	3.0	4.0	206.5651
261.9518523	2	F2	2.0	2.0	225
276.9342326	2	F2	4.0	4.0	225
291.6438609	2	F2	2.0	2.0	26.5651
314.7334786	2	F2	1.0	1.0	33.6901
331.9508099	2	F2	1.0	1.0	45
347.3326197	2	F2	4.0	4.0	225
