onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.5087722	2	F2	1.0	1.0	18.4349
32.2939214	2	F2	4.0	4.0	236.3099
47.1097492	2	F2	2.0	1.0	45
61.8524331	2	F2	4.0	4.0	213.6901
87.2443584	2	F2	1.0	1.0	26.5651
105.1620868	2	F2	2.0	2.0	45
124.3144774	2	F2	2.0	1.0	26.56510
146.9367814	2	F2	4.0	4.0	225
169.5596704	2	F2	1.0	2.0	45
185.0182554	2	F2	3.0	4.0	225
202.1920279	2	F2	3.0	4.0	236.3099
217.0160449	2	F2	1.0	1.0	45
231.6545427	2	F2	4.0	4.0	243.4349
249.8141296	2	F2	4.0	4.0	198.4349
268.3799773	2	F2	3.0	4.0	225
288.9115493	2	F2	3.0	1.0	63.4349
306.7442335	2	F2	3.0	4.0	251.5651
326.6328	2	F2	1.0	2.0	26.5651
344.350455	2	F2	3.0	4.0	243.4349
362.3015681	2	F2	2.0	4.0	243.4349
