onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.7706608	2	F2	4.0	3.0	0.785398163397448
37.1894602	2	F2	2.0	1.0	-2.67794504458899
59.1445853	2	F2	2.0	1.0	-2.81984209919315
75.3660847	2	F2	3.0	4.0	1.10714871779409
91.4816485	2	F2	3.0	1.0	-2.81984209919315
107.0140114	2	F2	2.0	2.0	-2.35619449019235
125.8298244	2	F2	3.0	3.0	0.785398163397448
145.9810848	2	F2	4.0	4.0	1.10714871779409
164.8334112	2	F2	2.0	4.0	0.785398163397448
183.8856686	2	F2	1.0	1.0	-1.89254688119154
198.7916626	2	F2	2.0	3.0	0.785398163397448
214.4995633	2	F2	2.0	4.0	0.463647609000806
234.0854988	2	F2	3.0	2.0	1.10714871779409
250.6887098	2	F2	1.0	2.0	-2.03444393579570
266.3542934	2	F2	1.0	2.0	-2.15879893034246
281.6330844	2	F2	4.0	4.0	0.785398163397448
296.6480003	2	F2	4.0	3.0	1.10714871779409
313.3313552	2	F2	1.0	2.0	-1.89254688119154
338.6565985	2	F2	4.0	3.0	0.785398163397448
359.3486234	2	F2	2.0	2.0	-2.67794504458899
