onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.7706608	2	F2	4.0	3.0	225
37.1894602	2	F2	2.0	1.0	63.4349
59.1445853	2	F2	2.0	1.0	71.5651
75.3660847	2	F2	3.0	4.0	206.5651
91.4816485	2	F2	3.0	1.0	71.5651
107.0140114	2	F2	2.0	2.0	45
125.8298244	2	F2	3.0	3.0	225
145.9810848	2	F2	4.0	4.0	206.5651
164.8334112	2	F2	2.0	4.0	225
183.8856686	2	F2	1.0	1.0	18.4349
198.7916626	2	F2	2.0	3.0	225
214.4995633	2	F2	2.0	4.0	243.4349
234.0854988	2	F2	3.0	2.0	206.5651
250.6887098	2	F2	1.0	2.0	26.5651
266.3542934	2	F2	1.0	2.0	33.6901
281.6330844	2	F2	4.0	4.0	225
296.6480003	2	F2	4.0	3.0	206.5651
313.3313552	2	F2	1.0	2.0	18.4349
338.6565985	2	F2	4.0	3.0	225
359.3486234	2	F2	2.0	2.0	63.4349
