onset,duration,trial_type,choose,relevant_rank,irrelevant_rank,D,I,E,A,,,,,,
8.0323447,1,3,,,,,,,,,,,,,
23.6309872,1,3,,,,,,,,,,,,,
38.4288291,1,3,,,,,,,,,,,,,
53.2102321,1,3,,,,,,,,,,,,,
73.2807175,1,3,,,,,,,,,,,,,
94.9358743,1,3,,,,,,,,,,,,,
113.4725187,1,3,,,,,,,,,,,,,
134.3576983,1,3,,,,,,,,,,,,,
156.9806434,1,3,,,,,,,,,,,,,
176.0185065,1,3,,,,,,,,,,,,,
192.3343522,1,3,,,,,,,,,,,,,
208.3337551,1,3,,,,,,,,,,,,,
223.0657401,1,3,,,,,,,,,,,,,
239.4653183,1,3,,,,,,,,,,,,,
257.8309666,1,3,,,,,,,,,,,,,
277.3840693,1,3,,,,,,,,,,,,,
296.5615403,1,3,,,,,,,,,,,,,
315.4266968,1,3,,,,,,,,,,,,,
334.2255915,1,3,,,,,,,,,,,,,
352.058207,1,3,,,,,,,,,,,,,
10.5678992,2,33,2,4,2,,,,,1,3,4,,2.828427125,-2.828427125
26.1667311,2,33,1,2,1,,,,,3,4,7,,4.949747468,3.535533906
40.9647223,2,33,2,4,3,,,,,1,2,3,,2.121320344,-2.828427125
55.7462847,2,33,1,1,2,,,,,4,3,7,,4.949747468,3.535533906
75.8162901,2,33,2,3,2,,,,,2,3,5,,3.535533906,-2.121320344
97.4710632,2,33,2,3,3,,,,,2,2,4,,2.828427125,-1.414213562
116.0061757,2,33,2,4,2,,,,,1,3,4,,2.828427125,-2.121320344
136.8935293,2,33,1,2,2,,,,,3,3,6,,4.242640687,2.828427125
159.5161498,2,33,2,2,3,,,,,3,2,5,,3.535533906,-1.414213562
178.5517838,2,33,1,2,3,,,,,3,2,5,,3.535533906,1.414213562
194.8681428,2,33,1,1,1,,,,,4,4,8,,5.656854249,3.535533906
210.8671852,2,33,2,3,3,,,,,2,2,4,,2.828427125,-2.828427125
225.5991419,2,33,1,3,2,,,,,2,3,5,,3.535533906,2.121320344
241.9984147,2,33,1,1,3,,,,,4,2,6,,4.242640687,2.828427125
260.3668613,2,33,1,1,2,,,,,4,3,7,,4.949747468,2.828427125
279.9193382,2,33,2,4,3,,,,,1,2,3,,2.121320344,-2.121320344
299.0945175,2,33,1,2,1,,,,,3,4,7,,4.949747468,2.828427125
317.9603519,2,33,2,3,3,,,,,2,2,4,,2.828427125,-2.121320344
336.7592537,2,33,1,2,2,,,,,3,3,6,,4.242640687,2.121320344
354.5938275,2,33,1,1,2,,,,,4,3,7,,4.949747468,2.121320344
17.5087722,2,333,1,1,1,3,1,2.236067977,18.43494882,4,4,8,4,5.656854249,-2.828427125
32.2939214,2,333,2,4,4,2,3,2.236067977,56.30993247,1,1,2,-5,1.414213562,3.535533906
47.1097492,2,333,1,2,1,2,2,3.16227766,45,3,4,7,4,4.949747468,-2.828427125
61.8524331,2,333,2,4,4,3,2,2.236067977,33.69006753,1,1,2,-5,1.414213562,3.535533906
87.2443584,2,333,1,1,1,2,1,2.236067977,26.56505118,4,4,8,3,5.656854249,-2.121320344
105.1620868,2,333,1,2,2,1,1,1.414213562,45,3,3,6,2,4.242640687,-1.414213562
124.3144774,2,333,1,2,1,2,1,2.236067977,26.56505118,3,4,7,3,4.949747468,-2.121320344
146.9367814,2,333,2,4,4,2,2,3.605551275,45,1,1,2,-4,1.414213562,2.828427125
169.5596704,2,333,1,1,2,1,1,3.605551275,45,4,3,7,2,4.949747468,-1.414213562
185.0182554,2,333,2,3,4,1,1,2.236067977,45,2,1,3,-2,2.121320344,1.414213562
202.1920279,2,333,2,3,4,2,3,3.16227766,56.30993247,2,1,3,-5,2.121320344,3.535533906
217.0160449,2,333,1,1,1,2,2,3.605551275,45,4,4,8,4,5.656854249,-2.828427125
231.6545427,2,333,2,4,4,1,2,2.236067977,63.43494882,1,1,2,-3,1.414213562,2.121320344
249.8141296,2,333,2,4,4,3,1,1.414213562,18.43494882,1,1,2,-4,1.414213562,2.828427125
268.3799773,2,333,2,3,4,2,2,1.414213562,45,2,1,3,-4,2.121320344,2.828427125
288.9115493,2,333,1,3,1,1,2,3.16227766,63.43494882,2,4,6,3,4.242640687,-2.121320344
306.7442335,2,333,2,3,4,1,3,2.236067977,71.56505118,2,1,3,-4,2.121320344,2.828427125
326.6328,2,333,1,1,2,2,1,2.236067977,26.56505118,4,3,7,3,4.949747468,-2.121320344
344.350455,2,333,2,3,4,1,2,3.605551275,63.43494882,2,1,3,-3,2.121320344,2.121320344
362.3015681,2,333,2,2,4,1,2,1.414213562,63.43494882,3,1,4,-3,2.828427125,2.121320344
