onset	duration	trial_type	relevant_red	relevant_blue	all_rank
10.5678992	2	F1	1	3	4
26.1667311	2	F1	3	4	7
40.9647223	2	F1	1	2	3
55.7462847	2	F1	4	3	7
75.8162901	2	F1	2	3	5
97.4710632	2	F1	2	2	4
116.0061757	2	F1	1	3	4
136.8935293	2	F1	3	3	6
159.5161498	2	F1	3	2	5
178.5517838	2	F1	3	2	5
194.8681428	2	F1	4	4	8
210.8671852	2	F1	2	2	4
225.5991419	2	F1	2	3	5
241.9984147	2	F1	4	2	6
260.3668613	2	F1	4	3	7
279.9193382	2	F1	1	2	3
299.0945175	2	F1	3	4	7
317.9603519	2	F1	2	2	4
336.7592537	2	F1	3	3	6
354.5938275	2	F1	4	3	7
