onset	duration	trial_type	relevant_red	relevant_blue	all_rank
10.5718891	2	choose	2	4	6
60.2975026	2	choose	4	2	6
96.7506393	2	choose	4	4	8
190.2761641	2	choose	2	2	4
224.4769175	2	choose	3	2	5
239.8429996	2	choose	4	2	6
255.4744263	2	choose	4	4	8
270.7067009	2	choose	4	4	8
340.9098954	2	choose	3	3	6
34.9883678	2	choose	2	3	5
51.2376314	2	choose	4	4	8
87.0078551	2	choose	4	4	8
124.4440525	2	choose	3	4	7
140.1099839	2	choose	3	2	5
158.4444796	2	choose	4	3	7
178.5402408	2	choose	3	4	7
215.7381204	2	choose	2	4	6
291.6438609	2	choose	3	3	6
314.7334786	2	choose	4	4	8
331.9508099	2	choose	4	4	8
