onset	duration	trial_type	diag_unchoose	diag_diff
27.2002466	2	unchoose	2.121320344	1.414213562
44.3828387	2	unchoose	2.828427125	2.828427125
78.1812083	2	unchoose	3.535533906	2.121320344
115.4691235	2	unchoose	3.535533906	1.414213562
133.5434626	2	unchoose	2.121320344	1.414213562
150.5424698	2	unchoose	2.121320344	2.828427125
169.7578888	2	unchoose	2.828427125	2.121320344
208.8781751	2	unchoose	2.828427125	1.414213562
285.5545041	2	unchoose	2.121320344	2.121320344
304.4577164	2	unchoose	2.121320344	3.535533906
324.6146381	2	unchoose	4.242640687	1.414213562
16.8700204	2	unchoose	1.414213562	2.828427125
66.820201	2	unchoose	2.828427125	1.414213562
103.9619138	2	unchoose	2.828427125	2.828427125
199.4891089	2	unchoose	1.414213562	1.414213562
230.687005	2	unchoose	1.414213562	2.121320344
246.4655216	2	unchoose	2.121320344	2.121320344
261.9518523	2	unchoose	4.242640687	1.414213562
276.9342326	2	unchoose	1.414213562	4.242640687
347.3326197	2	unchoose	1.414213562	2.828427125
