onset	duration	trial_type	diag_unchoose	diag_diff
10.5678992	2	unchoose	2.828427125	2.828427125
40.9647223	2	unchoose	2.121320344	2.828427125
75.8162901	2	unchoose	3.535533906	2.121320344
97.4710632	2	unchoose	2.828427125	1.414213562
116.0061757	2	unchoose	2.828427125	2.121320344
159.5161498	2	unchoose	3.535533906	1.414213562
210.8671852	2	unchoose	2.828427125	2.828427125
279.9193382	2	unchoose	2.121320344	2.121320344
317.9603519	2	unchoose	2.828427125	2.121320344
32.2939214	2	unchoose	1.414213562	3.535533906
61.8524331	2	unchoose	1.414213562	3.535533906
146.9367814	2	unchoose	1.414213562	2.828427125
185.0182554	2	unchoose	2.121320344	1.414213562
202.1920279	2	unchoose	2.121320344	3.535533906
231.6545427	2	unchoose	1.414213562	2.121320344
249.8141296	2	unchoose	1.414213562	2.828427125
268.3799773	2	unchoose	2.121320344	2.828427125
306.7442335	2	unchoose	2.121320344	2.828427125
344.350455	2	unchoose	2.121320344	2.121320344
362.3015681	2	unchoose	2.828427125	2.121320344
