onset	duration	trial_type	relevant_red	relevant_blue	all_rank
27.2002466	2	unchoose	1	2	3
44.3828387	2	unchoose	3	1	4
78.1812083	2	unchoose	3	2	5
115.4691235	2	unchoose	2	3	5
133.5434626	2	unchoose	2	1	3
150.5424698	2	unchoose	1	2	3
169.7578888	2	unchoose	2	2	4
208.8781751	2	unchoose	1	3	4
285.5545041	2	unchoose	1	2	3
304.4577164	2	unchoose	1	2	3
324.6146381	2	unchoose	3	3	6
16.8700204	2	unchoose	1	1	2
66.820201	2	unchoose	3	1	4
103.9619138	2	unchoose	3	1	4
199.4891089	2	unchoose	1	1	2
230.687005	2	unchoose	1	1	2
246.4655216	2	unchoose	2	1	3
261.9518523	2	unchoose	3	3	6
276.9342326	2	unchoose	1	1	2
347.3326197	2	unchoose	1	1	2
