onset	duration	trial_type	relevant_rank	irrelevant_rank
10.5678992	2	F1	4.0	2.0
26.1667311	2	F1	2.0	1.0
40.9647223	2	F1	4.0	3.0
55.7462847	2	F1	1.0	2.0
75.8162901	2	F1	3.0	2.0
97.4710632	2	F1	3.0	3.0
116.0061757	2	F1	4.0	2.0
136.8935293	2	F1	2.0	2.0
159.5161498	2	F1	2.0	3.0
178.5517838	2	F1	2.0	3.0
194.8681428	2	F1	1.0	1.0
210.8671852	2	F1	3.0	3.0
225.5991419	2	F1	3.0	2.0
241.9984147	2	F1	1.0	3.0
260.3668613	2	F1	1.0	2.0
279.9193382	2	F1	4.0	3.0
299.0945175	2	F1	2.0	1.0
317.9603519	2	F1	3.0	3.0
336.7592537	2	F1	2.0	2.0
354.5938275	2	F1	1.0	2.0
