onset	duration	trial_type	relevant_rank	irrelevant_rank
10.5718891	2	F1	3.0	1.0
27.2002466	2	F1	4.0	3.0
44.3828387	2	F1	2.0	4.0
60.2975026	2	F1	1.0	3.0
78.1812083	2	F1	2.0	3.0
96.7506393	2	F1	1.0	1.0
115.4691235	2	F1	3.0	2.0
133.5434626	2	F1	3.0	4.0
150.5424698	2	F1	4.0	3.0
169.7578888	2	F1	3.0	3.0
190.2761641	2	F1	3.0	3.0
208.8781751	2	F1	4.0	2.0
224.4769175	2	F1	2.0	3.0
239.8429996	2	F1	1.0	3.0
255.4744263	2	F1	1.0	1.0
270.7067009	2	F1	1.0	1.0
285.5545041	2	F1	4.0	3.0
304.4577164	2	F1	4.0	3.0
324.6146381	2	F1	2.0	2.0
340.9098954	2	F1	2.0	2.0
