onset	duration	trial_type	diag_F1
10.562961	2	F1	4.949747468
28.7482297	2	F1	2.828427125
49.4351983	2	F1	2.121320344
68.5206903	2	F1	4.242640687
84.6881062	2	F1	1.414213562
100.5190894	2	F1	1.414213562
117.6862631	2	F1	5.656854249
137.1737111	2	F1	3.535533906
156.6775331	2	F1	4.242640687
175.6274014	2	F1	2.828427125
192.6108736	2	F1	4.949747468
207.910019	2	F1	4.949747468
225.5603876	2	F1	5.656854249
243.6619039	2	F1	2.828427125
259.7946429	2	F1	1.414213562
275.2599369	2	F1	2.828427125
290.4095177	2	F1	4.242640687
306.2586785	2	F1	2.121320344
327.2618978	2	F1	3.535533906
350.2681255	2	F1	2.121320344
