"","alpha","r","xp","bor","pxp","roi","type"
"1",9.01523559355408,0.321972699769789,0.543231,0.999999078992827,0.250000270067854,"Amy_L","D"
"2",5.97749173045248,0.21348184751616,0.121902,0.999999078992827,0.249999882020823,"Amy_L","I"
"3",6.44679195411277,0.230242569789742,0.162565,0.999999078992827,0.249999919471738,"Amy_L","diag"
"4",6.56048072188067,0.23430288292431,0.172302,0.999999078992827,0.249999928439585,"Amy_L","E"
"5",6.05120943540598,0.216114622693071,0.134202,0.999970149458441,0.249996543366989,"Amy_R","D"
"6",7.32421779998284,0.261579207142244,0.270023,0.999970149458441,0.250000597697394,"Amy_R","I"
"7",8.46301291754135,0.302250461340762,0.45283,0.999970149458441,0.250006054585345,"Amy_R","diag"
"8",6.16155984706984,0.220055708823923,0.142945,0.999970149458441,0.249996804350273,"Amy_R","E"
"9",7,0.25,0.249812,0.999999980317218,0.2499999999963,"EC_L","D"
"10",7,0.25,0.250009,0.999999980317218,0.250000000000177,"EC_L","I"
"11",7,0.25,0.250043,0.999999980317218,0.250000000000846,"EC_L","diag"
"12",7,0.25,0.250136,0.999999980317218,0.250000000002677,"EC_L","E"
"13",6.81657593808435,0.24344914064587,0.226843,0.999999999961472,0.249999999999108,"EC_R","D"
"14",7.38329825115868,0.263689223255667,0.300614,0.999999999961472,0.25000000000195,"EC_R","I"
"15",6.83798049353706,0.244213589054895,0.228198,0.999999999961472,0.24999999999916,"EC_R","diag"
"16",6.96214531721991,0.248648047043568,0.244345,0.999999999961472,0.249999999999782,"EC_R","E"
"17",11.8853802812047,0.424477867185882,0.835331,0.999970789241923,0.250017097962236,"HC_L","D"
"18",5.61518917795926,0.200542470641402,0.04642,0.999970789241923,0.249994053273871,"HC_L","I"
"19",6.9778262517769,0.249208080420604,0.111281,0.999970789241923,0.24999594791285,"HC_L","diag"
"20",3.52160428905914,0.125771581752112,0.006968,0.999970789241923,0.249992900851043,"HC_L","E"
"21",10.1594798085343,0.36283856459051,0.640163,0.999743161730073,0.250100208789909,"HC_R","D"
"22",8.07433133049137,0.288368976088977,0.279643,0.999743161730073,0.250007613456835,"HC_R","I"
"23",4.93235087405648,0.17615538835916,0.041747,0.999743161730073,0.249946512659773,"HC_R","diag"
"24",4.83383798691788,0.172637070961353,0.038447,0.999743161730073,0.249945665093482,"HC_R","E"
"25",8.25033444626751,0.294654801652411,0.418114,0.999999985848121,0.250000002379129,"mPFC","D"
"26",6.21636030592991,0.222012868068925,0.149985,0.999999985848121,0.2499999985846,"mPFC","I"
"27",7.50909574854535,0.268181991019477,0.298848,0.999999985848121,0.250000000691291,"mPFC","diag"
"28",6.02420949925723,0.215150339259187,0.133053,0.999999985848121,0.24999999834498,"mPFC","E"
