"","id","roi","model","TR","var","LL"
"144",22,"EC_R","D",1112,1.711065349,-1876.49624924856
"145",22,"Hippo_L","D",1112,0.236034975,-775.120590027473
"146",22,"Hippo_R","D",1112,0.212348879,-716.323915024551
"149",22,"mPFC","D",1112,0.691846603,-1373.03424185772
"151",23,"Amy_L","D",1112,0.249397983,-805.739483676246
"152",23,"Amy_R","D",1112,0.151489226,-528.553779650957
"153",23,"EC_L","D",1112,1.312537611,-1729.07072724022
"154",23,"EC_R","D",1112,0.351753724,-996.93750715927
"155",23,"Hippo_L","D",1112,0.054608599,38.7458893671811
"156",23,"Hippo_R","D",1112,0.058068814,4.58669810537495
"159",23,"mPFC","D",1112,0.155518803,-543.149967830855
"161",24,"Amy_L","D",1112,0.100467366,-300.21483865181
"162",24,"Amy_R","D",1112,0.114139286,-371.152961154503
"163",24,"EC_L","D",1112,0.796867479,-1451.61045875217
"164",24,"EC_R","D",1112,0.273341439,-856.708982361396
"165",24,"Hippo_L","D",1112,0.078244617,-161.218773114789
"166",24,"Hippo_R","D",1112,0.061135034,-24.0230237062091
"169",24,"mPFC","D",1112,0.065463195,-62.0550842404301
"171",25,"Amy_L","D",1112,0.289969911,-889.54381611792
"172",25,"Amy_R","D",1112,0.194068911,-666.27431268552
"173",25,"EC_L","D",1112,0.863301327,-1496.13238236462
"174",25,"EC_R","D",1112,0.521832566,-1216.23252440167
"175",25,"Hippo_L","D",1112,0.18287971,-633.256423363642
"176",25,"Hippo_R","D",1112,0.080745176,-178.70952434091
"179",25,"mPFC","D",1112,0.12925462,-440.299760940921
"181",26,"Amy_L","D",1112,0.132516757,-454.157976386581
"182",26,"Amy_R","D",1112,0.588709896,-1283.27875416161
"183",26,"EC_L","D",1112,0.350719235,-995.299931527583
"184",26,"EC_R","D",1112,0.292499053,-894.372268366795
"185",26,"Hippo_L","D",1112,0.069516697,-95.4589481959757
"186",26,"Hippo_R","D",1112,0.076647475,-149.752178343744
"189",26,"mPFC","D",1112,0.147809774,-514.882645555016
"191",27,"Amy_L","D",1112,0.166317377,-580.47493098743
"192",27,"Amy_R","D",1112,0.364262599,-1016.3662323568
"193",27,"EC_L","D",1112,3.559223298,-2283.72519348934
"194",27,"EC_R","D",1112,0.607818931,-1301.03934068611
"195",27,"Hippo_L","D",1112,0.183693353,-635.724614818881
"196",27,"Hippo_R","D",1112,0.194746457,-668.21207537866
"199",27,"mPFC","D",1112,0.862994247,-1495.93457558765
"201",28,"Amy_L","D",1112,0.2336568,-769.490188687491
"202",28,"Amy_R","D",1112,0.190024332,-654.564296487689
"203",28,"EC_L","D",1112,2.470412618,-2080.69781373524
"204",28,"EC_R","D",1112,0.411123494,-1083.65257841849
"205",28,"Hippo_L","D",1112,0.346240442,-988.153913559885
"206",28,"Hippo_R","D",1112,0.153983032,-537.632096285419
"209",28,"mPFC","D",1112,0.115352686,-377.032527930094
"211",29,"Amy_L","D",1112,0.096226086,-276.233183555401
"212",29,"Amy_R","D",1112,0.061554883,-27.8283397569069
"213",29,"EC_L","D",1112,0.434886943,-1114.89558327399
"214",29,"EC_R","D",1112,0.146875944,-511.358815343695
"215",29,"Hippo_L","D",1112,0.064208327,-51.2936097317415
"216",29,"Hippo_R","D",1112,0.038371714,234.942047281925
"219",29,"mPFC","D",1112,0.055979546,24.9598622380648
"221",30,"Amy_L","D",1112,0.149494845,-521.1853361203
"222",30,"Amy_R","D",1112,0.224784702,-747.967257450516
"223",30,"EC_L","D",1112,0.688821287,-1370.59762636132
"224",30,"EC_R","D",1112,0.351305802,-996.229047472754
"225",30,"Hippo_L","D",1112,0.090332063,-241.089526785966
"226",30,"Hippo_R","D",1112,0.046444122,128.7853347956
"229",30,"mPFC","D",1112,0.057879453,6.40276336152277
"231",31,"Amy_L","D",1112,0.283355183,-876.713566727844
"232",31,"Amy_R","D",1112,0.847747095,-1486.02350279037
"233",31,"EC_L","D",1112,1.388792622,-1760.46937126347
"234",31,"EC_R","D",1112,0.65142292,-1339.56016116468
"235",31,"Hippo_L","D",1112,0.062563826,-36.8678257302791
"236",31,"Hippo_R","D",1112,0.062908824,-39.9253744693949
"239",31,"mPFC","D",1112,0.188567522,-650.285333011505
"241",1,"Amy_L","I",1099,0.0987721903379204,-287.354364096811
"242",1,"Amy_R","I",1099,0.156432782793972,-540.020137125772
"243",1,"EC_L","I",1099,1.90123465495554,-1912.46911768639
"244",1,"EC_R","I",1099,0.749254743974909,-1400.78585346688
"245",1,"Hippo_L","I",1099,0.0819949392606372,-185.060234391054
"246",1,"Hippo_R","I",1099,0.0689500901020528,-89.8458317924806
"249",1,"mPFC","I",1099,0.0982865220667701,-284.645777888251
"251",2,"Amy_L","I",1099,0.293632812270506,-886.042284067507
"252",2,"Amy_R","I",1099,0.198794793942364,-671.705994194824
"253",2,"EC_L","I",1099,1.43836989322031,-1759.16244234069
"254",2,"EC_R","I",1099,1.20971750085381,-1664.03102865074
"255",2,"Hippo_L","I",1099,0.122202779037112,-404.32406480173
"256",2,"Hippo_R","I",1099,0.0621154896164866,-32.4848879269592
"259",2,"mPFC","I",1099,0.19455074650199,-659.847745744326
"261",3,"Amy_L","I",1099,0.385178394698051,-1035.16369329759
"262",3,"Amy_R","I",1099,0.212808802582357,-709.138492301991
"263",3,"EC_L","I",1099,4.09618887645159,-2334.23976899134
"264",3,"EC_R","I",1099,3.62061496640071,-2266.42426644309
"265",3,"Hippo_L","I",1099,0.1307062815441,-441.289419992182
"266",3,"Hippo_R","I",1099,0.123154973972157,-408.589132745972
"269",3,"mPFC","I",1099,0.492695346862594,-1170.44204061876
"271",4,"Amy_L","I",1099,0.878147708358075,-1488.01116151694
"272",4,"Amy_R","I",1099,0.638755035786759,-1313.10872559455
"273",4,"EC_L","I",1099,4.11049997076668,-2336.15624333169
"274",4,"EC_R","I",1099,5.19068793571262,-2464.36644611771
